id,display_name,group,provider,api_model_id,response_file
o3-mini,o3-mini,reasoning,openai,o3-mini,data/responses/raw/o3-mini.json
o4-mini,o4-mini,reasoning,openai,o4-mini,data/responses/raw/o4-mini.json
deepseek-r1,DeepSeek-R1,reasoning,deepseek,deepseek-reasoner,data/responses/raw/deepseek-r1.json
gpt-4o-2024-11-20,GPT-4o,standard,openai,gpt-4o-2024-11-20,data/responses/raw/gpt-4o-2024-11-20.json
gpt-5-mini,GPT-5 mini,standard,openai,gpt-5-mini,data/responses/raw/gpt-5-mini.json
gpt-4-1,GPT-4.1,standard,openai,gpt-4.1,data/responses/raw/gpt-4-1.json
gpt-4-1-mini,GPT-4.1 mini,standard,openai,gpt-4.1-mini,data/responses/raw/gpt-4-1-mini.json
gpt-4-1-nano,GPT-4.1 nano,standard,openai,gpt-4.1-nano,data/responses/raw/gpt-4-1-nano.json
gpt-5-4-mini,GPT-5.4 mini,standard,openai,gpt-5.4-mini,data/responses/raw/gpt-5-4-mini.json
gpt-5-4-nano,GPT-5.4 nano,standard,openai,gpt-5.4-nano,data/responses/raw/gpt-5-4-nano.json
gpt-5-nano,GPT-5 nano,standard,openai,gpt-5-nano,data/responses/raw/gpt-5-nano.json
gpt-4o-mini,GPT-4o mini,standard,openai,gpt-4o-mini,data/responses/raw/gpt-4o-mini.json
claude-opus-4-7,Claude Opus 4.7,standard,anthropic,claude-opus-4-7,data/responses/raw/claude-opus-4-7.json
claude-sonnet-4-6,Claude Sonnet 4.6,standard,anthropic,claude-sonnet-4-6,data/responses/raw/claude-sonnet-4-6.json
claude-haiku-4-5,Claude Haiku 4.5,standard,anthropic,claude-haiku-4-5-20251001,data/responses/raw/claude-haiku-4-5.json
claude-opus-4-6,Claude Opus 4.6,standard,anthropic,claude-opus-4-6,data/responses/raw/claude-opus-4-6.json
claude-sonnet-4-5,Claude Sonnet 4.5,standard,anthropic,claude-sonnet-4-5-20250929,data/responses/raw/claude-sonnet-4-5.json
claude-opus-4-5,Claude Opus 4.5,standard,anthropic,claude-opus-4-5-20251101,data/responses/raw/claude-opus-4-5.json
gemini-3-5-flash,Gemini 3.5 Flash,standard,google,gemini-3.5-flash,data/responses/raw/gemini-3-5-flash.json
gemini-3-1-flash-lite,Gemini 3.1 Flash Lite,standard,google,gemini-3.1-flash-lite,data/responses/raw/gemini-3-1-flash-lite.json
gemini-2-5-pro,Gemini 2.5 Pro,standard,google,gemini-2.5-pro,data/responses/raw/gemini-2-5-pro.json
gemini-2-5-flash,Gemini 2.5 Flash,standard,google,gemini-2.5-flash,data/responses/raw/gemini-2-5-flash.json
gemini-2-5-flash-lite,Gemini 2.5 Flash Lite,standard,google,gemini-2.5-flash-lite,data/responses/raw/gemini-2-5-flash-lite.json
deepseek-v3,DeepSeek-V3,standard,deepseek,deepseek-chat,data/responses/raw/deepseek-v3.json
deepseek-v4-flash,DeepSeek-V4 Flash,standard,deepseek,deepseek-v4-flash,data/responses/raw/deepseek-v4-flash.json
deepseek-v4-pro,DeepSeek-V4 Pro,standard,deepseek,deepseek-v4-pro,data/responses/raw/deepseek-v4-pro.json
gemma9b-8k4k,Gemma 2 9B IT,standard,vllm-modal,google/gemma-2-9b-it,data/responses/raw/gemma9b_8k4k_responses.json
gemma27b-16k8k,Gemma 3 27B IT,standard,vllm-modal,google/gemma-3-27b-it,data/responses/raw/gemma27b_16k8k_responses.json
phi4-16k8k,Phi-4,standard,vllm-modal,microsoft/phi-4,data/responses/raw/phi4_16k8k_responses.json
qwen7b-16k8k,Qwen2.5 7B Instruct,standard,vllm-modal,Qwen/Qwen2.5-7B-Instruct,data/responses/raw/qwen7b_16k8k_responses.json
qwq-32b-16k8k,QwQ 32B,reasoning,vllm-modal,Qwen/QwQ-32B,data/responses/raw/qwq_32b_16k8k_responses.json
sky-t1-32b-16k8k,Sky-T1 32B Preview,reasoning,vllm-modal,NovaSky-AI/Sky-T1-32B-Preview,data/responses/raw/sky_t1_32b_16k8k_responses.json
mistral7b-16k8k,Mistral 7B Instruct v0.3,standard,vllm-modal,mistralai/Mistral-7B-Instruct-v0.3,data/responses/raw/mistral7b_16k8k_responses.json
olmo2-7b-4k2k,OLMo 2 1124 7B Instruct,standard,vllm-modal,allenai/OLMo-2-1124-7B-Instruct,data/responses/raw/olmo2_7b_4k2k_responses.json
falcon3-10b-16k8k,Falcon3 10B Instruct,standard,vllm-modal,tiiuae/Falcon3-10B-Instruct,data/responses/raw/falcon3_10b_16k8k_responses.json
llama31-8b-16k8k,Llama 3.1 8B Instruct,standard,vllm-modal,meta-llama/Llama-3.1-8B-Instruct,data/responses/raw/llama31_8b_16k8k_responses.json
